nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
La Charente du confluent du canal de la Gardette au confluent de la Devise,45.9414,-0.9883,57.57,0.0,faible/nulle,modere,0-1,535950.6,4,0.0
LE CHER DE LA SAULDRE (NC) AU FOUZON (NC),47.2723,1.4887,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Côle du confluent du Trincou au confluent de la Dronne,45.3636,0.6938,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Côtiers du Taravo au Rizzanese,41.712,8.9347,34.48,0.0,faible/nulle,modere,0-1,112011.6,3,0.0
Côtiers du Cavu au Stabiacciu,41.6513,9.308,86.7,0.0,faible/nulle,fort,0-2,6132418.0,2,0.0
Les Martinettes,45.2123,-0.5009,71.4,2.1,faible/nulle,fort,0-2,1322611.6,3,85.4
Le Nauzon,45.6872,0.7478,25.14,0.0,faible/nulle,faible,0-0,42244.6,1,0.0
La Saine de sa source à la Lemme,46.6552,6.0288,95.41,0.0,faible/nulle,fort,0-2,142128746.6,6,0.0
La Bienne du Tacon au Lison inclus,46.4539,5.8342,41.91,0.0,faible/nulle,modere,0-1,197222.6,6,0.0
Le Médoc,45.5612,-0.4891,42.82,0.0,faible/nulle,modere,0-1,210638.8,2,0.0
L'Ain de la Cimante à la Bienne,46.4143,5.6619,99.19,0.0,faible/nulle,fort,0-2,2445260156.6,9,0.0
L'Auvézère du confluent de l'Arnac au confluent de la Penchennerie,45.425,1.3132,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
LE SICHON DU JOLAN (NC) A L'ALLIER (NC),46.1403,3.4318,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Espierre rivière,50.6715,3.2187,89.55,0.0,faible/nulle,fort,0-2,10980987.8,10,0.0
Scarpe Canalisée de l'écluse numéro 2 Lallaing à l'écluse numéro 3 Marchiennes,50.3685,3.1922,86.94,0.0,faible/nulle,fort,0-2,6382897.4,12,0.0
Le Séran de sa source au Culé,46.0523,5.674,18.08,0.0,faible/nulle,faible,0-0,6591.0,1,0.0
L'Ain du Suran à l'Albarine,45.9917,5.3169,79.58,0.0,faible/nulle,fort,0-2,2505670.0,6,0.0
Le Groin,45.9326,5.7265,28.49,0.0,faible/nulle,faible,0-0,62666.0,1,0.0
La Charente du confluent du Bief au confluent de l'Aume,45.8649,0.0973,50.28,0.0,faible/nulle,modere,0-1,347801.6,4,0.0
Le Ratut (Palais) de sa source au confluent du Gendarme (inclus),44.9639,-0.0482,8.13,0.0,faible/nulle,faible,0-0,0.0,4,0.0
La Dordogne du confluent de la Bave au confluent du Palsou,44.9017,1.741,66.78,0.0,faible/nulle,fort,0-2,964377.4,4,0.0
Le ruisseau du Moulin d'Annebey de sa source au confluent de l'Aure (exclu),49.2789,-1.0178,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
Le courant de Mimizan du confluent du Belloc au confluent du Capit (inclus),44.2012,-1.1987,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Garonne du confluentde la Save au confluent du Saint-Pierre,43.7993,1.2977,51.67,0.0,faible/nulle,modere,0-1,379053.4,2,0.0
La Sanne,45.3775,4.8948,81.61,0.0,faible/nulle,fort,0-2,3121178.0,4,0.0
