nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
Canal de Roubaix de l'écluse numéro 6 Cottigny à l'écluse numéro 5 Noir Bonnet,50.6794,3.1305,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Scarpe Canalisée de l'écluse numéro 6 Thun au confluent de la Grande Traitoire aval,50.4115,3.3318,88.79,3.78,moderee,fort,1-2,8896146.8,24,89.6
La Boutonne du confluent de la Trézence au confluent de la Charente,45.9488,-0.7629,63.66,0.0,faible/nulle,modere,0-1,790711.4,6,0.0
Canal de la Deûle de l'écluse Don à l'écluse Grand Carré,50.5697,2.9617,93.34,0.0,faible/nulle,fort,0-2,48614662.4,32,0.0
Sambre Canalisée de l'écluse numéro 3 Saseignies à l'écluse numéro 4 Bairlemont,50.1269,3.9958,87.96,6.06,moderee,fort,1-2,7686287.0,30,93.2
Dérivation de la Scarpe du Canal de jonction au bras de la Deûle et la Deûle du bras de la Deûle au Canal d'Aire,50.4185,2.8754,91.84,9.65,forte,fort,2-2,24912097.4,57,96.9
Sambre Canalisée de l'écluse numéro 1 Les Etoquies à l'écluse numéro 2 Hachette,50.0857,3.8914,82.42,0.0,faible/nulle,fort,0-2,3415765.4,19,0.0
Canal du Nord 1ère section de l'écluse numéro 9 Moislains à l'écluse numéro 10 Allaines,49.9701,2.9535,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Truyère du confluent de l'Alleuze au confluent du Bès,44.938,3.0963,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Canal de St-Quentin de l'écluse numéro 16 Moulin Lafosse à l'écluse numéro 15 Honnecourt,50.0367,3.2005,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Ton de sa source au confluent de l'Oise (exclu),49.84,4.21,78.4,5.02,moderee,fort,1-2,2281980.4,26,91.6
LE COUESNON DE LA TAMOUT (C) A LOISANCE (NC),48.4323,-1.5868,47.89,0.0,faible/nulle,modere,0-1,293191.2,5,0.0
LE GOUESSANT DE SA SOURCE AU RAU DU GAST (C),48.4085,-2.4712,33.25,0.0,faible/nulle,faible,0-0,102236.8,6,0.0
L'Oise du confluent du Gland (exclu) au confluent du Ton (exclu),49.9418,4.0224,16.35,0.0,faible/nulle,faible,0-0,55.6,9,0.0
L'Odon du confluent du ruisseau de Sabley (exclu) au confluent de l'Orne (exclu),49.1619,-0.4355,23.8,0.0,faible/nulle,faible,0-0,34656.4,7,0.0
Les bassins côtiers compris entre l'embouchure de l'Arques (exclu) et l'embouchure de la Scie (exclu),49.9204,1.0572,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Gave de Pau du confluent de l'Ouzom au confluent du Béez,43.1734,-0.2484,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'HYERE DU RAU DE L'ETANG DE FOLLEZOU (C) A L'ANCIEN CANAL DE NANTES A BREST (NC),48.3133,-3.4916,76.25,0.0,faible/nulle,fort,0-2,1876297.6,9,0.0
Le Bailly Bec de sa source au confluent de l'Eaulne (exclu),49.8974,1.358,8.13,4.38,moderee,faible,1-0,0.0,3,90.6
Canal de St-Quentin de l'écluse numéro 19 Pascal à l'écluse numéro 20 Omissy,49.8851,3.3168,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Les bassins côtiers compris entre l'embouchure de la Saâne (exclu) et l'embouchure du Dun (exclu),49.8941,0.9071,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Moselle entre la Canner et la Boler.,49.4129,6.2835,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Canal de St-Quentin de l'écluse numéro 21 Moulin Brûlé à l'écluse numéro 22 St-Quentin et Fossé des Fontaines Ferrées,49.8559,3.3102,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
l'Ancre et Canal de la Somme de l'écluse numéro 14 Corbie à l'écluse numéro 15 Daours,49.9983,2.649,86.07,4.02,moderee,fort,1-2,5337952.4,60,90.0
La Nive de Béherobie du confluent du Laurhibar au confluent de la Nive d'Arnéguy,43.1706,-1.2467,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'ELEZ & SES AFFLUENTS,48.3338,-3.808,94.01,0.0,faible/nulle,fort,0-2,65344445.4,6,0.0
La Seine du confluent de la Morelle (exclu) au confluent du ruisseau de Barneville (exclu),49.4232,0.1997,31.69,0.0,faible/nulle,faible,0-0,87650.4,1,0.0
Côtiers du canal de la Robine inclus à l'Aude,43.1264,3.0131,91.57,6.38,forte,fort,2-2,21715711.0,4,93.5
La Serre de sa source au confluent du Vilpion (exclu),49.7219,4.0631,63.86,0.0,faible/nulle,modere,0-1,802685.8,35,0.0
Les bassins côtiers compris entre l'embouchure de la Saire (exclu) et l'embouchure de la Divette (exclu),49.6656,-1.3773,67.28,0.0,faible/nulle,fort,0-2,1004752.2,15,0.0
Côtiers du ruisseau de Pietracorbara au Granaggilo inclus,42.9432,9.4349,50.62,0.0,faible/nulle,modere,0-1,357386.4,6,0.0
La Serre du confluent de la Souche (exclu) au confluent de l'Oise (exclu),49.725,3.5694,81.73,3.62,moderee,fort,1-2,3162697.8,38,89.3
La Varenne de sa source au confluent de l'Arques (exclu),49.7113,1.2601,74.07,0.0,faible/nulle,fort,0-2,1585532.2,34,0.0
La Divette du confluent de la Néretz (exclu) au confluent du ruisseau de Houlbecq (inclus),49.5837,-1.7091,51.33,0.0,faible/nulle,modere,0-1,373815.2,2,0.0
Les bassins côtiers compris entre l'embouchure du Valmont (exclu) et le bassin de la Seine (exclu),49.6645,0.2802,86.3,0.0,faible/nulle,fort,0-2,5530976.2,33,0.0
Les bassins côtiers compris entre l'embouchure de la Divette (exclu) et l'embouchure de la Diélette (inclus),49.6387,-1.8245,82.68,0.0,faible/nulle,fort,0-2,3496146.6,9,0.0
La Seulles du confluent de la Mue (exclu) à l'embouchure,49.3159,-0.4752,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
LA DOUFFINE & SES AFFLUENTS,48.2937,-3.9915,47.37,0.0,faible/nulle,modere,0-1,282237.0,4,0.0
La Chiers de la Thonne au Loison.,49.5194,5.3224,19.29,0.0,faible/nulle,faible,0-0,12348.6,1,0.0
La Lézarde du confluent du ruisseau de Saint Laurent (exclu) au confluent du Canal de Tancarville,49.5044,0.2,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Aisne du confluent du ru de Retz (exclu) au confluent du ru d'Hozien (exclu),49.4001,3.1563,62.5,0.0,faible/nulle,modere,0-1,728303.4,3,0.0
La Douve du confluent de la Scye (exclu) au confluent de la Saudre (exclu),49.4344,-1.5478,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
L'Oise du confluent de l'Aronde (exclu) au confluent de l'Aisne (exclu),49.437,2.847,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Seine du confluent du Canal de Retour d'Eau - bras Nord Sud (exclu) au confluent de la Morelle (exclu),49.4387,0.263,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
LA SARTHE DU SARTHON (NC) A L'ORNETTE (C),48.4003,-0.1357,43.95,0.0,faible/nulle,modere,0-1,223636.8,4,0.0
LA SARTHE DE LA BRIANTE (NC) AU SARTHON (NC),48.4263,0.0044,45.24,0.0,faible/nulle,modere,0-1,242847.0,12,0.0
La Risle du confluent du ruisseau de la Corbie (exclu) au confluent de la Seine (exclu),49.4008,0.4191,68.02,0.0,faible/nulle,fort,0-2,1061072.0,6,0.0
L'Aisne du confluent de la Loivre (exclu) au confluent de la Miette (exclu),49.4015,3.8832,94.25,0.0,faible/nulle,fort,0-2,79080805.0,1,0.0
L'Arré de sa source au confluent de la Brèche (exclu),49.4859,2.4212,68.2,0.0,faible/nulle,fort,0-2,1078753.6,10,0.0
LA JOUANNE DE SA SOURCE A LA DEUX EVAILLES (NC),48.1683,-0.424,49.64,0.0,faible/nulle,modere,0-1,331770.6,6,0.0
LA VILAINE DU RAU DES EPRONNIERES (NC) A LA VALIERE (NC),48.1441,-1.1333,88.29,0.0,faible/nulle,fort,0-2,8149219.2,4,0.0
BLAVET DU CANAL NANTES-BREST AU RAU DE ST NIEL (C) & CANAL JUSQU'AU BIEF DE PARTAGE (ST GERAND),48.0911,-2.9337,39.13,0.0,faible/nulle,modere,0-1,164162.6,3,0.0
La Touques du confluent du ruisseau du Vaunoy (exclu) au confluent du ruisseau des Ouis (inclus),49.3476,0.1157,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Aisne du confluent du ruisseau de Bouffignereux (exclu) au confluent du ru de Vendresse Beaulne (inclus),49.3917,3.6904,99.43,9.48,forte,fort,2-2,3801253469.4,22,96.7
Côtiers du Liscu inclus à l'Ostriconi,42.6964,9.1235,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Jaur,43.5281,2.823,89.09,5.91,moderee,fort,1-2,9421627.8,8,92.9
La Touques du confluent de la Paquine (exclu) au confluent du Pré d'Auge (exclu),49.1913,0.2145,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Seulles du confluent de la Thue (exclu) au confluent de la Mue (exclu),49.3018,-0.4853,33.17,0.0,faible/nulle,faible,0-0,101005.8,1,0.0
La rivière de Claids de sa source au confluent de l'Ay (exclu),49.2358,-1.4683,65.13,0.0,faible/nulle,modere,0-1,865490.6,2,0.0
Les bassins côtiers compris entre l'embouchure de la Diélette (exclu) et l'embouchure de l'Ay (exclu),49.3871,-1.7371,70.93,0.0,faible/nulle,fort,0-2,1286870.0,16,0.0
La Prosne de sa source au confluent de la Vesle (exclu),49.1973,4.2914,49.83,0.0,faible/nulle,modere,0-1,335852.4,2,0.0
L'Orne du confluent de la Guigne (exclu) au confluent de la Laize (exclu),49.0952,-0.4039,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Albe du Moderbach à la Rode.,48.9813,6.9935,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Suippe de sa source au confluent de l'Arnes (inclus),49.2127,4.508,75.5,0.0,faible/nulle,fort,0-2,1771033.0,17,0.0
Le Gave de Pau du confluent du Gave d'Aspé au confluent du Gave de Héas,42.7731,0.0155,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
LA CLAISE DE SA SOURCE AU RAU DE L'ETANG VIEUX (C),46.7846,1.4706,39.28,0.0,faible/nulle,modere,0-1,165806.0,3,0.0
La Scance.,49.1371,5.3121,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
La Dorette de sa source au confluent de la Dives (exclu),49.1738,0.046,43.54,0.0,faible/nulle,modere,0-1,219046.2,9,0.0
LA MAYENNE DU RAU DE SAINT NICOLAS (C) A LA JOUANNE (NC),48.082,-0.7096,17.81,5.88,moderee,faible,1-0,5540.0,3,92.9
L'Odon du confluent de l'Ajon (exclu) au confluent du ruisseau de Sabley (inclus),49.1165,-0.5323,34.35,0.0,faible/nulle,modere,0-1,111404.2,6,0.0
Les bassins côtiers compris entre l'embouchure de l'Ay (exclu) et l'embouchure de la Sienne (exclu),49.0981,-1.5696,25.51,0.0,faible/nulle,faible,0-0,44262.8,5,0.0
L'Aire du confluent de l'Ezrule (exclu) au confluent de la Cousance (exclu),49.027,5.1804,60.32,10.0,forte,modere,2-1,623324.8,12,97.1
La Marne du confluent du ru de Domptin (exclu) au confluent du Petit Morin (exclu),48.983,3.2072,60.77,0.0,faible/nulle,modere,0-1,642394.0,13,0.0
Les bassins côtiers compris entre l'embouchure de la Vanlée (inclus) et l'embouchure du ruisseau du Boscq (exclu),48.903,-1.5378,53.76,0.0,faible/nulle,modere,0-1,429064.4,7,0.0
LE BOUILLENOU DE SA SOURCE A LA MER,48.8425,-3.1021,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
COTIERS DU JAUDY (NC) AU RAU DE DOURDU (NC),48.8293,-3.2791,66.47,0.0,faible/nulle,modere,0-1,947742.0,5,0.0
La Moivre de sa source au confluent de la Marne (exclu),48.9134,4.6183,55.84,0.0,faible/nulle,modere,0-1,485330.0,8,0.0
L'Aube du confluent du ru du Moulin (exclu) au confluent de la Superbe (exclu),48.5769,3.8976,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'OUDON DE SA SOURCE A L'ETANG DE LA GUEHARDIERE (C),48.031,-0.9696,53.03,0.0,faible/nulle,modere,0-1,409077.8,4,0.0
La Seine du confluent de l'Oise (exclu) au confluent de l'Aubette (exclu),48.9543,1.9878,91.55,0.0,faible/nulle,fort,0-2,21449504.6,22,0.0
L'Orne du confluent de la Baize (exclu) au confluent de la Rouvre (exclu),48.8619,-0.3675,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
L'Iton du confluent du Rouloir (exclu) au confluent de l'Eure (exclu),49.0484,1.0677,89.45,2.5,faible/nulle,fort,0-2,10662878.6,56,86.6
La Seine du confluent de la Marne (exclu) au confluent de la Bièvre (exclu),48.825,2.3873,26.69,0.0,faible/nulle,faible,0-0,50740.8,1,0.0
LE TRIEUX DU LEFF (NC) A LA MER,48.7753,-3.1264,20.31,0.0,faible/nulle,faible,0-0,16937.0,2,0.0
LA QUINCAMPOIX & SES AFFLUENTS,48.0199,-1.3421,20.67,0.0,faible/nulle,faible,0-0,19220.2,7,0.0
LA SEICHE DE L'ISE (NC) A LA VILAINE (NC),48.0246,-1.6755,56.08,0.0,faible/nulle,modere,0-1,490661.2,4,0.0
LE CANUT DE SA SOURCE AU RAU DES GREES THEBAULT (C),47.9857,-1.9655,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
L'YVEL DU DOUEFF (NC) AU NINIAN (NC),47.9829,-2.3563,22.59,0.0,faible/nulle,faible,0-0,27924.4,4,0.0
L'OUST DU LIE (NC) AU SEDON (NC),47.9706,-2.6254,94.33,0.0,faible/nulle,fort,0-2,83048695.2,6,0.0
Le ruisseau de Courcelles de sa source au confluent de la Seine (exclu),47.9057,4.5802,25.37,0.0,faible/nulle,faible,0-0,43571.8,5,0.0
COTIERS DU GUILLEC (NC) AU KERALLE (NC),48.6771,-4.1391,43.79,0.0,faible/nulle,modere,0-1,221683.8,2,0.0
Le Grand Morin du confluent du ru de l'Orgeval (exclu) au confluent de l'Aubetin (exclu),48.8366,3.0453,66.1,0.0,faible/nulle,modere,0-1,925462.4,4,0.0
Le Ratut (Palais) du confluent du Gendarme au confluent de l'Isle,45.0024,-0.1432,54.32,0.0,faible/nulle,modere,0-1,446529.2,1,0.0
La Seine du confluent de la Noxe (exclu) au confluent de l'Ardusson (exclu),48.5151,3.5291,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
COTIERS DU QUILLIMADEC (NC) A L'ABER-VRAC'H (NC),48.6235,-4.4909,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
L'EVEL DE SA SOURCE A LA R DE BELLE-CHERE (NC),47.9875,-2.788,60.9,0.0,faible/nulle,modere,0-1,649175.2,5,0.0
L'ODET DE LA R DE L'ANSE DE SAINT CADOU (NC) A LA MER,47.9403,-4.1666,63.24,0.0,faible/nulle,modere,0-1,770360.8,5,0.0
La Braize de sa source au confluent de la Sée (exclu),48.7479,-1.3609,39.57,0.0,faible/nulle,modere,0-1,168932.4,3,0.0
LE LEGUER DU RAU DE KERLOUZEN (C) A LA MER & COTIERS DU LEGUER AU RAU DU COAT TREDREZ (C),48.7025,-3.487,82.24,0.0,faible/nulle,fort,0-2,3359472.8,5,0.0
L'Aire de sa source au confluent de l'Ezrule (exclu),48.829,5.3792,40.02,0.0,faible/nulle,modere,0-1,173976.6,18,0.0
La Coole de sa source au confluent de la Marne (exclu),48.8061,4.3467,67.91,0.0,faible/nulle,fort,0-2,1043606.6,10,0.0
La Bouanne de sa source au confluent de la Sée (exclu),48.6935,-0.9817,47.52,0.0,faible/nulle,modere,0-1,285355.6,2,0.0
LE JAUDY DU RAU DE THEOULAS (NC) AU GUINDY (NC),48.7086,-3.2477,77.8,5.19,moderee,fort,1-2,2163236.8,13,91.9
La Somme Soude de sa source au confluent de la Marne (exclu),48.8364,4.1702,82.58,0.0,faible/nulle,fort,0-2,3470910.0,24,0.0
LE DOURDUFF DE SA SOURCE A LA MER,48.6072,-3.7474,68.96,0.0,faible/nulle,fort,0-2,1127813.6,3,0.0
LA PENZE DU COAT TOUL ZAC'H (NC) A LA MER,48.6172,-3.9455,80.71,0.0,faible/nulle,fort,0-2,2869833.8,4,0.0
L'HORN DE SA SOURCE A LA MER,48.6525,-4.0228,60.48,0.0,faible/nulle,modere,0-1,632107.2,6,0.0
LA SARTHE DE L'ANTONNIERE (NC) A L'HUISNE (NC),48.0229,0.1847,67.57,0.0,faible/nulle,fort,0-2,1023955.2,4,0.0
LE PALAIS & SES AFFLUENTS,48.0629,-0.2097,28.13,0.0,faible/nulle,faible,0-0,60763.2,4,0.0
Le ruisseau des Amis.,48.625,6.6547,23.74,0.0,faible/nulle,faible,0-0,34591.4,3,0.0
L'Orne du confluent de la Sennevière (exclu) au confluent de la Thouane (exclu),48.6559,0.1023,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
LE ROSCOAT & LE YAR DE LEUR SOURCE A LA MER,48.6126,-3.5696,8.13,0.0,faible/nulle,faible,0-0,0.0,5,0.0
R DE MORLAIX DU JARLO (NC) A LA MER,48.5645,-3.8635,73.02,14.08,forte,fort,2-2,1480952.0,5,98.6
RAUX DE L'ILE D'OUESSANT,48.4582,-5.0883,32.38,29.23,forte,faible,2-0,94325.0,1,99.9
L'Yerres du confluent du ru de Bréon (exclu) au confluent de la Marsange (exclu),48.6609,2.8057,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Vézère du confluent de l'Elle au confluent de la Douime,45.1301,1.2534,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
LA MAYENNE DE LA JOUANNE A L'OUETTE (NC),48.0719,-0.8799,96.54,0.0,faible/nulle,fort,0-2,241513512.4,14,0.0
LA MAUVE & SES AFFLUENTS,47.9127,1.6288,89.53,9.83,forte,fort,2-2,10890986.8,10,97.0
La Gueuche de sa source au confluent de la Sélune (exclu),48.6375,-0.997,20.21,0.0,faible/nulle,faible,0-0,16360.6,1,0.0
L'Almont du confluent du ru de Villefermoy (exclu) au confluent du ru de Bouisy (exclu),48.5713,2.8509,60.67,2.75,moderee,modere,1-1,639085.6,6,87.3
LE JAUDY DE SA SOURCE AU RAU DE THEOULAS (C),48.5983,-3.2587,19.05,0.0,faible/nulle,faible,0-0,10736.4,6,0.0
L'ABER-BENOIT DE SA SOURCE A L'ABER BENOUIC (NC),48.5038,-4.4202,46.18,0.0,faible/nulle,modere,0-1,260150.2,2,0.0
Le Viaur du confluent du Lézert au confluent du Rayet,44.18,2.1702,8.13,1.05,faible/nulle,faible,0-0,0.0,1,82.3
La Guenelle de sa source au confluent de la Marne (exclu),48.7277,4.4915,76.18,1.66,faible/nulle,fort,0-2,1867021.4,16,84.0
LE BLAVET DE LA SARRE (NC) A L'EVEL (NC),47.9421,-3.124,34.84,16.3,forte,modere,2-1,116861.4,2,99.0
LE SCORFF DU RAU DE PONT ER BELLEC (NC) AU RAU DE PENLAN (NC),47.9373,-3.3871,39.39,0.0,faible/nulle,modere,0-1,167538.6,3,0.0
R DE PONT-L'ABBE DE SA SOURCE A LA MER,47.919,-4.2361,82.18,0.0,faible/nulle,fort,0-2,3328246.0,5,0.0
LE STER GOZ & SES AFFLUENTS,47.9604,-3.7469,75.97,0.0,faible/nulle,fort,0-2,1846018.6,2,0.0
La Mogne de sa source au confluent de l'Hozain (exclu),48.1735,4.0603,30.0,0.0,faible/nulle,faible,0-0,74254.2,16,0.0
La Sélune du confluent de l'Argonce (exclu) au confluent de la Douenne (exclu),48.5747,-1.0584,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Garonne du confluent du Brion au confluent du Galouchey,44.5627,-0.2565,20.26,0.0,faible/nulle,faible,0-0,16630.6,2,0.0
La Sélune du confluent de la Douenne (exclu) au confluent de l'Airon (exclu),48.5841,-1.0916,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'EGRENNE DE SA SOURCE AU RAU DE RANCONNET (NC),48.6708,-0.7555,27.45,7.73,forte,faible,2-0,55459.6,5,95.3
La Sélune du confluent de l'Oir (exclu) à l'embouchure ainsi que les bassins côtiers jusqu'à la limite du bassin Loire-B,48.625,-1.371,26.5,0.0,faible/nulle,faible,0-0,49303.2,12,0.0
RAU DE ISLET LA FLORA DE LEUR SOURCE A LA MER ET COTIERS DU CAP FREHEL AU GOUESSANT (NC),48.6066,-2.4636,22.8,0.0,faible/nulle,faible,0-0,29187.8,7,0.0
LE GUIC DE SA SOURCE A LA R DE SAINT EMILION (C),48.523,-3.5216,38.36,0.0,faible/nulle,modere,0-1,155891.4,5,0.0
LE JARLOT DE SA SOURCE A LA R DE MORLAIX (NC),48.53,-3.7371,58.41,0.0,faible/nulle,modere,0-1,560874.6,2,0.0
L'HUISNE DE LA QUEUNE (NC) AU BIAN DE MARCE (C),48.0655,0.5523,85.15,7.16,forte,fort,2-2,4712058.8,16,94.7
LA VAIGE DE SA SOURCE AU RAU DE L'OISELLIERE (C),48.0207,-0.509,59.99,0.0,faible/nulle,modere,0-1,612949.6,6,0.0
LA VILAINE DU RAU DES PRES DE BOULIFART (C) AU RAU DE GRAS PAINEL (NC),47.805,-1.7632,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
Le ruisseau du Buternay de sa source au confluent de l'Avre (exclu),48.6425,0.9037,86.83,4.19,moderee,fort,1-2,6287417.0,8,90.3
LE GUIC DE LA R DE SAINT EMILION (NC) AU LEGUER (NC),48.4908,-3.4325,34.88,0.0,faible/nulle,modere,0-1,117262.0,3,0.0
LE QUEFFLEUT & SES AFFLUENTS,48.4961,-3.833,25.67,0.0,faible/nulle,faible,0-0,45176.8,2,0.0
LE COAT TOUL ZAC'H & SES AFFLUENTS,48.4921,-3.906,62.13,0.0,faible/nulle,modere,0-1,712308.0,2,0.0
LA PENFELD DE SA SOURCE A LA MER,48.425,-4.5021,86.12,0.0,faible/nulle,fort,0-2,5357964.6,4,0.0
L'Isle du confluent de l'Estissac au confluent du Grolet,45.0421,0.3439,34.64,0.0,faible/nulle,modere,0-1,113999.2,1,0.0
L'Auvézère du confluent du Dalon au confluent de la Lourde,45.3062,1.121,27.87,0.0,faible/nulle,faible,0-0,58626.8,2,0.0
LE CANUT DU RAU DES GREES THEBAULT (NC) A LA VILAINE (NC),47.9385,-1.8445,36.71,0.0,faible/nulle,modere,0-1,136928.4,2,0.0
L'Orge du confluent de la Rémarde (exclu) au confluent de l'Yvette (exclu),48.6352,2.2163,50.9,0.0,faible/nulle,modere,0-1,363950.6,19,0.0
LA VARENNE DE SA SOURCE A L'EGRENNE (NC),48.6485,-0.5941,76.07,0.0,faible/nulle,fort,0-2,1858933.2,16,0.0
LA SARTHE DE SA SOURCE A L'HOENE (NC),48.6078,0.409,42.95,0.0,faible/nulle,modere,0-1,212427.8,15,0.0
Côtiers du Figarella au ruisseau de Cardiccia,42.5325,8.7097,61.14,0.0,faible/nulle,modere,0-1,659193.2,1,0.0
Côtiers de la Punta Muchillia au ruisseau de Porto,42.3202,8.6395,30.02,0.0,faible/nulle,faible,0-0,74451.6,3,0.0
LE GUYOULT DU RAU DE LANDA (NC) A LA MER,48.5481,-1.7325,27.18,0.0,faible/nulle,faible,0-0,53018.2,5,0.0
R DE FREMUR DE SA SOURCE A LA MER & COTIERS ENTRE LES POINTES DE LA MALOUINE & DU CHEVRET,48.5859,-2.1304,28.24,0.0,faible/nulle,faible,0-0,61120.0,7,0.0
LE LEGUER DE SA SOURCE AU GUIC (NC),48.4897,-3.3259,43.19,0.0,faible/nulle,modere,0-1,215950.0,3,0.0
LA PENZE DE SA SOURCE AU COAT TOUL ZAC'H (NC),48.474,-3.9412,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'ABER-ILDUT DE SA SOURCE AU J332400 (NC),48.4167,-4.6251,17.01,0.0,faible/nulle,faible,0-0,2738.8,3,0.0
LA MAYENNE DE L'AISNE (NC) A LA GOURBE (NC),48.4624,-0.393,8.13,5.44,moderee,faible,1-0,0.0,3,92.3
Escaut Canalisé de l'écluse Pont-Malin à l'écluse Denain,50.2584,3.2533,94.75,3.75,moderee,fort,1-2,104305245.8,29,89.5
LA COLMONT DE L'OURDE (C) AU RAU DE LA GAUBERDIERE (NC),48.443,-0.8436,66.73,8.07,forte,fort,2-2,960759.8,7,95.7
LA LOISANCE & SES AFFLUENTS,48.4204,-1.3518,85.94,0.0,faible/nulle,fort,0-2,5281821.2,5,0.0
LE LINON DE SA SOURCE A LA DONAC (NC),48.4068,-1.7851,36.06,0.0,faible/nulle,modere,0-1,130632.6,3,0.0
LE GOUESSANT DU RAU DU GAST (NC) AU RAU DE L'EVRAN (NC),48.4569,-2.5321,39.75,0.0,faible/nulle,modere,0-1,170665.4,5,0.0
R DE L'HOPITAL CAMFROUT & R DU FAOU DE LEUR SOURCE A LA MER,48.3237,-4.1769,51.03,0.0,faible/nulle,modere,0-1,366308.0,5,0.0
LE COMBS DE SA SOURCE A RAU DU MOULIN DE MAURE (NC),47.922,-1.9466,35.89,0.0,faible/nulle,modere,0-1,129073.0,3,0.0
L'OYON & SES AFFLUENTS,47.9313,-2.2324,50.98,7.78,forte,modere,2-1,364976.8,4,95.4
L'EVEL DU TARUN (NC) AU BLAVET (NC),47.8621,-3.0478,73.5,0.0,faible/nulle,fort,0-2,1527910.4,1,0.0
LE BELON DE SA SOURCE A LA MER,47.8646,-3.662,44.72,0.0,faible/nulle,modere,0-1,236523.6,3,0.0
La Plaine du Chalaru au ruisseau de la Forge Evrard (inclus).,48.4517,6.9279,30.94,0.0,faible/nulle,faible,0-0,81978.4,1,0.0
La Triouzoune du confluent du Riffaud au confluent de la Dordogne,45.3566,2.2864,34.63,0.0,faible/nulle,modere,0-1,113796.2,1,0.0
LA GOURBE & SES AFFLUENTS,48.5673,-0.3054,43.27,0.0,faible/nulle,modere,0-1,216370.8,7,0.0
LE LEFF DE SA SOURCE AU GOAZEL (NC),48.5243,-2.9792,48.38,0.0,faible/nulle,modere,0-1,301364.2,8,0.0
L'ELORN DE SA SOURCE AU RAU AN DOUR KAMM (C),48.4065,-4.0318,89.63,0.0,faible/nulle,fort,0-2,11253224.4,3,0.0
COTIERS DE L'ELORN (NC) A LA R DE DAOULAS (NC),48.354,-4.3684,57.49,0.0,faible/nulle,modere,0-1,533073.2,2,0.0
L'AVEN DU STER GOZ (NC) A LA MER,47.8666,-3.7399,77.1,16.09,forte,fort,2-2,2032590.6,1,98.9
Le Dourdou (de Conques) du confluent du Créneau au confluent de la Bindouyre,44.5224,2.4252,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Voise du confluent de la Rémarde (exclu) au confluent de l'Eure (exclu),48.5464,1.6775,74.37,0.0,faible/nulle,fort,0-2,1623235.0,8,0.0
LA VESONE & SES AFFLUENTS,48.5432,0.2031,47.0,0.0,faible/nulle,modere,0-1,272811.8,9,0.0
LA MAYENNE DE LA VEE (NC) AU RAU DE LASSAY (NC),48.5181,-0.5255,69.22,0.0,faible/nulle,fort,0-2,1149458.4,6,0.0
LA VARENNE DE L'EGRENNE (NC) A LA PISSE (C),48.5062,-0.7213,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
LE COUESNON DE LA LOISANCE (NC) AU LOISON (NC),48.4813,-1.4087,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
La Loyre du confluent du Pont Sauvé au confluent du Roseix,45.3113,1.4294,27.24,0.0,faible/nulle,faible,0-0,53281.0,2,0.0
